
		ORDINARY TRAFFIC FILE FOR SENSOR_ID:25

 RDSN  DSN   SRC   DEST  FL  PL   TSTAMP      TSTAMP      PKT_TYPE         PAYLOAD
00142  0228  000A  0002  34  17  00048840  0047.507812  ORDINARY_PKT   00 02 00 8E 00 19 |  8E 00 00 00 00 00 00 00 00 00 00
00143  0229  000A  0002  34  17  00048851  0047.518555  ORDINARY_PKT   00 02 00 8F 00 19 |  8F 00 00 00 00 00 00 00 00 00 00
00144  0230  000A  0002  34  17  00048884  00047.55078  ORDINARY_PKT   00 02 00 90 00 19 |  90 00 00 00 00 00 00 00 00 00 00
00145  0231  000A  0002  34  17  00048893  00047.55957  ORDINARY_PKT   00 02 00 91 00 19 |  91 00 00 00 00 00 00 00 00 00 00
00146  0232  000A  0002  34  17  00048911  00047.57715  ORDINARY_PKT   00 02 00 92 00 19 |  92 00 00 00 00 00 00 00 00 00 00
00147  0233  000A  0002  34  17  00048945  00047.61035  ORDINARY_PKT   00 02 00 93 00 19 |  93 00 00 00 00 00 00 00 00 00 00
00148  0234  000A  0002  34  17  00048958  0047.623047  ORDINARY_PKT   00 02 00 94 00 19 |  94 00 00 00 00 00 00 00 00 00 00
00149  0235  000A  0002  34  17  00048974  00047.63867  ORDINARY_PKT   00 02 00 95 00 19 |  95 00 00 00 00 00 00 00 00 00 00
00150  0236  000A  0002  34  17  00048997  0047.661133  ORDINARY_PKT   00 02 00 96 00 19 |  96 00 00 00 00 00 00 00 00 00 00
00151  0237  000A  0002  34  17  00049011  0047.674805  ORDINARY_PKT   00 02 00 97 00 19 |  97 00 00 00 00 00 00 00 00 00 00
00152  0238  000A  0002  34  17  00049030  00047.69336  ORDINARY_PKT   00 02 00 98 00 19 |  98 00 00 00 00 00 00 00 00 00 00
00153  0239  000A  0002  34  17  00049055  0047.717773  ORDINARY_PKT   00 02 00 99 00 19 |  99 00 00 00 00 00 00 00 00 00 00
00154  0240  000A  0002  34  17  00049079  00047.74121  ORDINARY_PKT   00 02 00 9A 00 19 |  9A 00 00 00 00 00 00 00 00 00 00
00155  0241  000A  0002  34  17  00049095  0047.756836  ORDINARY_PKT   00 02 00 9B 00 19 |  9B 00 00 00 00 00 00 00 00 00 00
00156  0242  000A  0002  34  17  00049114  00047.77539  ORDINARY_PKT   00 02 00 9C 00 19 |  9C 00 00 00 00 00 00 00 00 00 00
00157  0243  000A  0002  34  17  00049130  0047.791016  ORDINARY_PKT   00 02 00 9D 00 19 |  9D 00 00 00 00 00 00 00 00 00 00
00158  0244  000A  0002  34  17  00049153  0047.813477  ORDINARY_PKT   00 02 00 9E 00 19 |  9E 00 00 00 00 00 00 00 00 00 00
00159  0245  000A  0002  34  17  00049181  00047.84082  ORDINARY_PKT   00 02 00 9F 00 19 |  9F 00 00 00 00 00 00 00 00 00 00
00160  0246  000A  0002  34  17  00049194  0047.853516  ORDINARY_PKT   00 02 00 A0 00 19 |  A0 00 00 00 00 00 00 00 00 00 00
00161  0247  000A  0002  34  17  00049206  0047.865234  ORDINARY_PKT   00 02 00 A1 00 19 |  A1 00 00 00 00 00 00 00 00 00 00
00162  0248  000A  0002  34  17  00049236  00047.89453  ORDINARY_PKT   00 02 00 A2 00 19 |  A2 00 00 00 00 00 00 00 00 00 00
00163  0249  000A  0002  34  17  00049250  0047.908203  ORDINARY_PKT   00 02 00 A3 00 19 |  A3 00 00 00 00 00 00 00 00 00 00
00164  0250  000A  0002  34  17  00049282  0047.939453  ORDINARY_PKT   00 02 00 A4 00 19 |  A4 00 00 00 00 00 00 00 00 00 00
00165  0251  000A  0002  34  17  00049291  0047.948242  ORDINARY_PKT   00 02 00 A5 00 19 |  A5 00 00 00 00 00 00 00 00 00 00
00166  0252  000A  0002  34  17  00049307  0047.963867  ORDINARY_PKT   00 02 00 A6 00 19 |  A6 00 00 00 00 00 00 00 00 00 00
00167  0253  000A  0002  34  17  00049335  00047.99121  ORDINARY_PKT   00 02 00 A7 00 19 |  A7 00 00 00 00 00 00 00 00 00 00
00168  0254  000A  0002  34  17  00049354  0048.009766  ORDINARY_PKT   00 02 00 A8 00 19 |  A8 00 00 00 00 00 00 00 00 00 00
00169  0255  000A  0002  34  17  00049373  00048.02832  ORDINARY_PKT   00 02 00 A9 00 19 |  A9 00 00 00 00 00 00 00 00 00 00
00170  0000  000A  0002  34  17  00049396  00048.05078  ORDINARY_PKT   00 02 00 AA 00 19 |  AA 00 00 00 00 00 00 00 00 00 00
00171  0001  000A  0002  34  17  00049410  0048.064453  ORDINARY_PKT   00 02 00 AB 00 19 |  AB 00 00 00 00 00 00 00 00 00 00
00172  0002  000A  0002  34  17  00049439  0048.092773  ORDINARY_PKT   00 02 00 AC 00 19 |  AC 00 00 00 00 00 00 00 00 00 00
00173  0003  000A  0002  34  17  00049454  00048.10742  ORDINARY_PKT   00 02 00 AD 00 19 |  AD 00 00 00 00 00 00 00 00 00 00
00174  0004  000A  0002  34  17  00049485  0048.137695  ORDINARY_PKT   00 02 00 AE 00 19 |  AE 00 00 00 00 00 00 00 00 00 00
00175  0005  000A  0002  34  17  00049490  00048.14258  ORDINARY_PKT   00 02 00 AF 00 19 |  AF 00 00 00 00 00 00 00 00 00 00
00176  0006  000A  0002  34  17  00049523  0048.174805  ORDINARY_PKT   00 02 00 B0 00 19 |  B0 00 00 00 00 00 00 00 00 00 00
00177  0007  000A  0002  34  17  00049532  0048.183594  ORDINARY_PKT   00 02 00 B1 00 19 |  B1 00 00 00 00 00 00 00 00 00 00
00178  0008  000A  0002  34  17  00049556  00048.20703  ORDINARY_PKT   00 02 00 B2 00 19 |  B2 00 00 00 00 00 00 00 00 00 00
00179  0009  000A  0002  34  17  00049573  0048.223633  ORDINARY_PKT   00 02 00 B3 00 19 |  B3 00 00 00 00 00 00 00 00 00 00
00180  0010  000A  0002  34  17  00049595  0048.245117  ORDINARY_PKT   00 02 00 B4 00 19 |  B4 00 00 00 00 00 00 00 00 00 00
00181  0011  000A  0002  34  17  00049617  000048.2666  ORDINARY_PKT   00 02 00 B5 00 19 |  B5 00 00 00 00 00 00 00 00 00 00
00182  0012  000A  0002  34  17  00049635  00048.28418  ORDINARY_PKT   00 02 00 B6 00 19 |  B6 00 00 00 00 00 00 00 00 00 00
00183  0013  000A  0002  34  17  00049659  0048.307617  ORDINARY_PKT   00 02 00 B7 00 19 |  B7 00 00 00 00 00 00 00 00 00 00
00184  0014  000A  0002  34  17  00049677  0048.325195  ORDINARY_PKT   00 02 00 B8 00 19 |  B8 00 00 00 00 00 00 00 00 00 00
00185  0015  000A  0002  34  17  00049694  0048.341797  ORDINARY_PKT   00 02 00 B9 00 19 |  B9 00 00 00 00 00 00 00 00 00 00
00186  0017  000A  0002  34  17  00049716  00048.36328  ORDINARY_PKT   00 02 00 BA 00 19 |  BA 00 00 00 00 00 00 00 00 00 00
00187  0018  000A  0002  34  17  00049739  0048.385742  ORDINARY_PKT   00 02 00 BB 00 19 |  BB 00 00 00 00 00 00 00 00 00 00
00188  0019  000A  0002  34  17  00049763  00048.40918  ORDINARY_PKT   00 02 00 BC 00 19 |  BC 00 00 00 00 00 00 00 00 00 00
00189  0020  000A  0002  34  17  00049781  0048.426758  ORDINARY_PKT   00 02 00 BD 00 19 |  BD 00 00 00 00 00 00 00 00 00 00
00190  0021  000A  0002  34  17  00049798  00048.44336  ORDINARY_PKT   00 02 00 BE 00 19 |  BE 00 00 00 00 00 00 00 00 00 00
00191  0022  000A  0002  34  17  00049813  0048.458008  ORDINARY_PKT   00 02 00 BF 00 19 |  BF 00 00 00 00 00 00 00 00 00 00
00192  0023  000A  0002  34  17  00049837  0048.481445  ORDINARY_PKT   00 02 00 C0 00 19 |  C0 00 00 00 00 00 00 00 00 00 00
00193  0024  000A  0002  34  17  00049861  0048.504883  ORDINARY_PKT   00 02 00 C1 00 19 |  C1 00 00 00 00 00 00 00 00 00 00
00194  0025  000A  0002  34  17  00049872  0048.515625  ORDINARY_PKT   00 02 00 C2 00 19 |  C2 00 00 00 00 00 00 00 00 00 00
00195  0026  000A  0002  34  17  00049902  00048.54492  ORDINARY_PKT   00 02 00 C3 00 19 |  C3 00 00 00 00 00 00 00 00 00 00
00196  0027  000A  0002  34  17  00049926  00048.56836  ORDINARY_PKT   00 02 00 C4 00 19 |  C4 00 00 00 00 00 00 00 00 00 00
00197  0028  000A  0002  34  17  00049944  0048.585938  ORDINARY_PKT   00 02 00 C5 00 19 |  C5 00 00 00 00 00 00 00 00 00 00
00198  0029  000A  0002  34  17  00049953  0048.594727  ORDINARY_PKT   00 02 00 C6 00 19 |  C6 00 00 00 00 00 00 00 00 00 00
00199  0030  000A  0002  34  17  00049973  0048.614258  ORDINARY_PKT   00 02 00 C7 00 19 |  C7 00 00 00 00 00 00 00 00 00 00
00200  0031  000A  0002  40  23  00049983  0048.624023   MONITOR_PKT   01 02 00 C8 00 19 |  7E 00 00 0F B6 00 00 01 00 00 00 C8 00 00 0D 4E 7E
00201  0032  000A  0002  34  17  00050000  0048.640625  ORDINARY_PKT   00 02 00 C9 00 19 |  C8 00 00 00 00 00 00 00 00 00 00
00202  0033  000A  0002  34  17  00050018  0048.658203  ORDINARY_PKT   00 02 00 CA 00 19 |  C9 00 00 00 00 00 00 00 00 00 00
00203  0034  000A  0002  34  17  00050039  00048.67871  ORDINARY_PKT   00 02 00 CB 00 19 |  CA 00 00 00 00 00 00 00 00 00 00
00204  0035  000A  0002  34  17  00050048  000048.6875  ORDINARY_PKT   00 02 00 CC 00 19 |  CB 00 00 00 00 00 00 00 00 00 00
00205  0036  000A  0002  34  17  00050072  0048.710938  ORDINARY_PKT   00 02 00 CD 00 19 |  CC 00 00 00 00 00 00 00 00 00 00
00206  0037  000A  0002  34  17  00050099  0048.737305  ORDINARY_PKT   00 02 00 CE 00 19 |  CD 00 00 00 00 00 00 00 00 00 00
00207  0038  000A  0002  34  17  00050114  0048.751953  ORDINARY_PKT   00 02 00 CF 00 19 |  CE 00 00 00 00 00 00 00 00 00 00
00208  0039  000A  0002  34  17  00050133  0048.770508  ORDINARY_PKT   00 02 00 D0 00 19 |  CF 00 00 00 00 00 00 00 00 00 00
00209  0040  000A  0002  34  17  00050156  00048.79297  ORDINARY_PKT   00 02 00 D1 00 19 |  D0 00 00 00 00 00 00 00 00 00 00
00210  0041  000A  0002  34  17  00050178  0048.814453  ORDINARY_PKT   00 02 00 D2 00 19 |  D1 00 00 00 00 00 00 00 00 00 00
00211  0042  000A  0002  34  17  00050192  0048.828125  ORDINARY_PKT   00 02 00 D3 00 19 |  D2 00 00 00 00 00 00 00 00 00 00
00212  0043  000A  0002  34  17  00050222  00048.85742  ORDINARY_PKT   00 02 00 D4 00 19 |  D3 00 00 00 00 00 00 00 00 00 00
00213  0044  000A  0002  34  17  00050233  0048.868164  ORDINARY_PKT   00 02 00 D5 00 19 |  D4 00 00 00 00 00 00 00 00 00 00
00214  0045  000A  0002  34  17  00050252  00048.88672  ORDINARY_PKT   00 02 00 D6 00 19 |  D5 00 00 00 00 00 00 00 00 00 00
00215  0046  000A  0002  34  17  00050276  0048.910156  ORDINARY_PKT   00 02 00 D7 00 19 |  D6 00 00 00 00 00 00 00 00 00 00
00216  0047  000A  0002  34  17  00050297  0048.930664  ORDINARY_PKT   00 02 00 D8 00 19 |  D7 00 00 00 00 00 00 00 00 00 00
00217  0048  000A  0002  34  17  00050319  00048.95215  ORDINARY_PKT   00 02 00 D9 00 19 |  D8 00 00 00 00 00 00 00 00 00 00
00218  0049  000A  0002  34  17  00050340  0048.972656  ORDINARY_PKT   00 02 00 DA 00 19 |  D9 00 00 00 00 00 00 00 00 00 00
00219  0050  000A  0002  34  17  00050353  00048.98535  ORDINARY_PKT   00 02 00 DB 00 19 |  DA 00 00 00 00 00 00 00 00 00 00
00220  0051  000A  0002  34  17  00050382  00049.01367  ORDINARY_PKT   00 02 00 DC 00 19 |  DB 00 00 00 00 00 00 00 00 00 00
00221  0052  000A  0002  34  17  00050393  0049.024414  ORDINARY_PKT   00 02 00 DD 00 19 |  DC 00 00 00 00 00 00 00 00 00 00
00222  0053  000A  0002  34  17  00050417  00049.04785  ORDINARY_PKT   00 02 00 DE 00 19 |  DD 00 00 00 00 00 00 00 00 00 00
00223  0054  000A  0002  34  17  00050434  0049.064453  ORDINARY_PKT   00 02 00 DF 00 19 |  DE 00 00 00 00 00 00 00 00 00 00
00224  0055  000A  0002  34  17  00050454  0049.083984  ORDINARY_PKT   00 02 00 E0 00 19 |  DF 00 00 00 00 00 00 00 00 00 00
00225  0056  000A  0002  34  17  00050479  000049.1084  ORDINARY_PKT   00 02 00 E1 00 19 |  E0 00 00 00 00 00 00 00 00 00 00
00226  0057  000A  0002  34  17  00050497  0049.125977  ORDINARY_PKT   00 02 00 E2 00 19 |  E1 00 00 00 00 00 00 00 00 00 00
00227  0058  000A  0002  34  17  00050518  0049.146484  ORDINARY_PKT   00 02 00 E3 00 19 |  E2 00 00 00 00 00 00 00 00 00 00
00228  0059  000A  0002  34  17  00050537  00049.16504  ORDINARY_PKT   00 02 00 E4 00 19 |  E3 00 00 00 00 00 00 00 00 00 00
00229  0060  000A  0002  34  17  00050558  0049.185547  ORDINARY_PKT   00 02 00 E5 00 19 |  E4 00 00 00 00 00 00 00 00 00 00
00230  0061  000A  0002  34  17  00050574  00049.20117  ORDINARY_PKT   00 02 00 E6 00 19 |  E5 00 00 00 00 00 00 00 00 00 00
00231  0062  000A  0002  34  17  00050594  0049.220703  ORDINARY_PKT   00 02 00 E7 00 19 |  E6 00 00 00 00 00 00 00 00 00 00
00232  0063  000A  0002  34  17  00050613  0049.239258  ORDINARY_PKT   00 02 00 E8 00 19 |  E7 00 00 00 00 00 00 00 00 00 00
00233  0064  000A  0002  34  17  00050638  00049.26367  ORDINARY_PKT   00 02 00 E9 00 19 |  E8 00 00 00 00 00 00 00 00 00 00
